name,conferenceName,language,type,year,title,description,link
Артем Тритяк,JavaScript fwdays,russian,,2015,Backbone React Flux,,https://youtu.be/x09eqFCkhwM
Tero Parviainen,JavaScript fwdays,english,,2015,Inside The AngularJS Directive Compiler,,https://youtu.be/jIo5UmA5cGg
Максим Климишин,JavaScript fwdays,russian,,2015,Изоморфная разработка на javascript с помощью react.js,,https://youtu.be/Qd9ErzUk10g
Екатерина Божкова,JavaScript fwdays,russian,,2015,Фриланс - выход за рамки. Перспектива для IT-талантов,,https://youtu.be/EkLtbSTaUX4
Эльдар Джафаров,JavaScript fwdays,russian,,2015,The Grail: React based Isomorph apps framework,,https://youtu.be/qff78f5jk1c
Владимир Агафонкин,JavaScript fwdays,russian,,2015,Как работают современные интерактивные карты на WebGL,,https://youtu.be/u2ppZYvpeb4
Александр Соловьев,JavaScript fwdays,russian,,2013,Functional Reactive Programming & ClojureScript,,https://youtu.be/R4sTvHXkToQ
Андрей Листочкин,JavaScript fwdays,russian,,2013,"Knockout: как, зачем, почему",,https://youtu.be/KfZKz1jbjsg
Павел Паномаренко,JavaScript fwdays,russian,,2013,AtomJS и LibCanvas,,https://youtu.be/d-qO7v0lT-U
Денис Радин,JavaScript fwdays,russian,,2013,Native look and feel of mobile JS interfaces with HTML5 canvas,,https://youtu.be/r1DD1Ut37BE
Владимир Агафонкин,JavaScript fwdays,russian,,2013,Создание интерактивных карт с Leaflet,,https://youtu.be/5HPRc1oHpp4
Павел Юрийчук,JavaScript fwdays,russian,,2013,"Опыт разраб. моб. веб приложения с использованием Backbone.js, Require.js, Zepto.js",,https://youtu.be/IG0bA0rig80
Егор Львовский,JavaScript fwdays,russian,,2013,Amazing UI with CSS and Anima.js,,https://youtu.be/1-4BgKec090
Андрей Геоня,JavaScript fwdays,russian,,2013,Интерактивные слои API карт 2GIS,,https://youtu.be/FpgpleHtRqg
Павел Паномаренко,JavaScript fwdays,russian,,2013,AtomJS,,https://youtu.be/jMcbNj8yK9Y
Максим Григорян,JavaScript fwdays,russian,,2013,Использование crossroads.js для маршрутизации на фронтенде,,https://youtu.be/BrLXvoTCiuQ
Владимир Агафонкин,JavaScript fwdays,russian,,2013,About Opensource,,https://youtu.be/sJPYcQhuN4M
Андрей Листочкин,JavaScript fwdays,russian,,2013,nockoutJS and Anima.js,,https://youtu.be/y5K0fJ6gbMc
Сергей Больщиков,Angular & React Frameworks Day,russian,,2015,Protractor Tips & Tricks,,https://youtu.be/eXbonBPeros
Сергей Жолудев,Angular & React Frameworks Day,russian,,2015,Preparing your Angular 1 code for Angular 2,,https://youtu.be/V_C0_Vz64lY
Андрей Листочкин,Angular & React Frameworks Day,russian,,2015,Следим за Ember,,https://youtu.be/DCtdg357n-Y
Роман Якобчук,Angular & React Frameworks Day,russian,,2015,React for Universal Apps,,https://youtu.be/t3V5i9a3-3E
Евгений Жарков,Angular & React Frameworks Day,russian,,2015,AngularJS: Good parts,,https://youtu.be/E_1KpYZtWbs
